# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
cdfo_414p06_400               cms_exo_19_010                SR1_2017                                                    0.1839771      0.2536980       ||    0.0004794      0.0000054      
cdfo_414p06_400               cms_exo_19_010                SR1_2018A                                                   0.2695276      0.2158701       ||    0.0002420      0.0000039      
cdfo_414p06_400               cms_exo_19_010                SR1_2018B                                                   0.2125343      0.2292061       ||    0.0003943      0.0000049      
cdfo_414p06_400               cms_exo_19_010                SR2_2017                                                    0.1840139      0.2713970       ||    0.0001918      0.0000034      
cdfo_414p06_400               cms_exo_19_010                SR2_2018A                                                   0.2238343      0.2243241       ||    0.0000959      0.0000024      
cdfo_414p06_400               cms_exo_19_010                SR2_2018B                                                   0.2106925      0.2778369       ||    0.0001399      0.0000029      
cdfo_414p06_400               cms_exo_19_010                SR3_2015                                                    10.4392112     16.0059203      ||    0.0000021      0.0000004      
cdfo_414p06_400               cms_exo_19_010                SR3_2016A                                                   5.3946711      5.3565159       ||    0.0000063      0.0000006      
cdfo_414p06_400               cms_exo_19_010                SR3_2016B                                                   2.1275601      2.1321185       ||    0.0000209      0.0000011      
cdfo_414p06_400               cms_exo_19_010                SR3_2017                                                    0.3002990      0.3010064       ||    0.0001598      0.0000031      
cdfo_414p06_400               cms_exo_19_010                SR3_2018A                                                   0.3531461      0.4502361       ||    0.0000799      0.0000022      
cdfo_414p06_400               cms_exo_19_010                SR3_2018B                                                   0.3488212      0.1863205       ||    0.0001314      0.0000029      
cdfo_414p06_400               cms_exo_19_010                SR1_2017_dR                                                 0.1830776      0.2524342       ||    0.0004794      0.0000054      
cdfo_414p06_400               cms_exo_19_010                SR1_2018A_dR                                                0.2688250      0.2156464       ||    0.0002420      0.0000039      
cdfo_414p06_400               cms_exo_19_010                SR1_2018B_dR                                                0.2128282      0.2300408       ||    0.0003943      0.0000049      
cdfo_414p06_400               cms_exo_19_010                SR2_2017_dR                                                 0.1827315      0.2718430       ||    0.0001918      0.0000034      
cdfo_414p06_400               cms_exo_19_010                SR2_2018A_dR                                                0.2239359      0.2216939       ||    0.0000959      0.0000024      
cdfo_414p06_400               cms_exo_19_010                SR2_2018B_dR                                                0.2121042      0.2779497       ||    0.0001399      0.0000029      
cdfo_414p06_400               cms_exo_19_010                SR3_2015_dR                                                 10.4286667     16.0163265      ||    0.0000021      0.0000004      
cdfo_414p06_400               cms_exo_19_010                SR3_2016A_dR                                                5.3871324      5.3995201       ||    0.0000063      0.0000006      
cdfo_414p06_400               cms_exo_19_010                SR3_2016B_dR                                                2.1428412      2.1260433       ||    0.0000209      0.0000011      
cdfo_414p06_400               cms_exo_19_010                SR3_2017_dR                                                 0.3027175      0.3009071       ||    0.0001598      0.0000031      
cdfo_414p06_400               cms_exo_19_010                SR3_2018A_dR                                                0.3541213      0.4498706       ||    0.0000799      0.0000022      
cdfo_414p06_400               cms_exo_19_010                SR3_2018B_dR                                                0.3482591      0.1846569       ||    0.0001314      0.0000029      
cdfo_414p06_400               cms_exo_19_010                [SL]-SR1                                                    0.0736120      0.0988704       ||    
cdfo_414p06_400               cms_exo_19_010                [SL]-SR2                                                    0.1063305      0.1337490       ||    
cdfo_414p06_400               cms_exo_19_010                [SL]-SR3                                                    0.1903262      0.1135950       ||    
cdfo_414p06_400               cms_exo_19_010                [SL]-SR1_dR                                                 0.0736120      0.0988704       ||    
cdfo_414p06_400               cms_exo_19_010                [SL]-SR2_dR                                                 0.1063305      0.1337490       ||    
cdfo_414p06_400               cms_exo_19_010                [SL]-SR3_dR                                                 0.1903262      0.1135950       ||    

