# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
cdfo_808p00_800               cms_exo_19_010                SR1_2017                                                    0.0477957      0.0660635       ||    0.0018301      0.0000795      
cdfo_808p00_800               cms_exo_19_010                SR1_2018A                                                   0.0703402      0.0564330       ||    0.0009231      0.0000565      
cdfo_808p00_800               cms_exo_19_010                SR1_2018B                                                   0.0606876      0.0656639       ||    0.0013789      0.0000690      
cdfo_808p00_800               cms_exo_19_010                SR2_2017                                                    0.0300802      0.0445023       ||    0.0011679      0.0000635      
cdfo_808p00_800               cms_exo_19_010                SR2_2018A                                                   0.0358374      0.0357720       ||    0.0005980      0.0000455      
cdfo_808p00_800               cms_exo_19_010                SR2_2018B                                                   0.0324892      0.0430627       ||    0.0009056      0.0000560      
cdfo_808p00_800               cms_exo_19_010                SR3_2015                                                    0.3360716      0.5211001       ||    0.0000635      0.0000148      
cdfo_808p00_800               cms_exo_19_010                SR3_2016A                                                   0.1684201      0.1678996       ||    0.0002022      0.0000265      
cdfo_808p00_800               cms_exo_19_010                SR3_2016B                                                   0.0666062      0.0667708       ||    0.0006676      0.0000481      
cdfo_808p00_800               cms_exo_19_010                SR3_2017                                                    0.0232284      0.0233120       ||    0.0020749      0.0000846      
cdfo_808p00_800               cms_exo_19_010                SR3_2018A                                                   0.0275994      0.0350337       ||    0.0010274      0.0000596      
cdfo_808p00_800               cms_exo_19_010                SR3_2018B                                                   0.0279157      0.0155265       ||    0.0016323      0.0000751      
cdfo_808p00_800               cms_exo_19_010                SR1_2017_dR                                                 0.0483891      0.0667567       ||    0.0018060      0.0000790      
cdfo_808p00_800               cms_exo_19_010                SR1_2018A_dR                                                0.0710787      0.0571211       ||    0.0009110      0.0000561      
cdfo_808p00_800               cms_exo_19_010                SR1_2018B_dR                                                0.0616400      0.0665593       ||    0.0013602      0.0000686      
cdfo_808p00_800               cms_exo_19_010                SR2_2017_dR                                                 0.0305397      0.0452899       ||    0.0011558      0.0000632      
cdfo_808p00_800               cms_exo_19_010                SR2_2018A_dR                                                0.0359372      0.0362342       ||    0.0005920      0.0000452      
cdfo_808p00_800               cms_exo_19_010                SR2_2018B_dR                                                0.0328525      0.0429567       ||    0.0009019      0.0000558      
cdfo_808p00_800               cms_exo_19_010                SR3_2015_dR                                                 0.3354254      0.5201635       ||    0.0000635      0.0000148      
cdfo_808p00_800               cms_exo_19_010                SR3_2016A_dR                                                0.1675386      0.1667700       ||    0.0002022      0.0000265      
cdfo_808p00_800               cms_exo_19_010                SR3_2016B_dR                                                0.0667505      0.0666565       ||    0.0006676      0.0000481      
cdfo_808p00_800               cms_exo_19_010                SR3_2017_dR                                                 0.0234205      0.0234130       ||    0.0020629      0.0000844      
cdfo_808p00_800               cms_exo_19_010                SR3_2018A_dR                                                0.0275712      0.0352229       ||    0.0010214      0.0000594      
cdfo_808p00_800               cms_exo_19_010                SR3_2018B_dR                                                0.0283104      0.0158125       ||    0.0016211      0.0000748      
cdfo_808p00_800               cms_exo_19_010                [SL]-SR1                                                    0.0198832      0.0267662       ||    
cdfo_808p00_800               cms_exo_19_010                [SL]-SR2                                                    0.0169961      0.0213346       ||    
cdfo_808p00_800               cms_exo_19_010                [SL]-SR3                                                    0.0138971      0.0087716       ||    
cdfo_808p00_800               cms_exo_19_010                [SL]-SR1_dR                                                 0.0201492      0.0271242       ||    
cdfo_808p00_800               cms_exo_19_010                [SL]-SR2_dR                                                 0.0171305      0.0215067       ||    
cdfo_808p00_800               cms_exo_19_010                [SL]-SR3_dR                                                 0.0139726      0.0088252       ||    

