# -----------------------------------------------------------------------------------------------------------
# Grid points of bottom-philic t-channel model obeying Omega h^2 = 0.12
# Data corresponds to results shown in Fig. 9 of
# "Bound-state effects on dark matter coannihilation: Pushing the boundaries of conversion-driven freeze-out"
# Mathias Garny, Jan Heisig, Phys.Rev.D 105 (2022) 5, 055004 [arXiv: 2112.01499]
# -----------------------------------------------------------------------------------------------------------
#        mx[GeV]    deltam[GeV]     msb[GeV]          yDMrelic                    ctau[m]                   relic_density              relDelta
         100        4.75            104.75            2.2406840511470288e-7       1.697881182524106         0.11999132077643748        0.0
         100        5.0             105.0             1.6554394124016437e-7       1.1949494635096753        0.11996051461213178        0.022585395379931514
         100        5.082073        105.082073        1.5902019715307717e-7       1.125564876444947         0.11994983770788356        0.03
         100        5.414146000000001        105.414146        1.4423552059523718e-7        0.9282961794152711        0.11992974637002862        0.06
         100        5.85691         105.85691        1.3525506564262868e-7        0.7554978567063465        0.11999300683146084        0.1
         100        6.742438        106.74243799999999        1.2812011088189753e-7        0.5361333511133857        0.11999378035477937        0.18
         100        8.402803        108.402803        1.2656339240417867e-7        0.31434509519427994        0.11996314781571536        0.33
         100        10.284550000000001        110.28455        1.3404553364395008e-7        0.17986514037266965        0.11999460179889        0.5
         100        11.944915000000002        111.94491500000001        1.5096474556917772e-7        0.10455499064186476        0.11993914825108618        0.65
         100        13.605280000000002        113.60528000000001        1.8681008863104944e-7        0.05299400172141226        0.12000110450660953        0.8
         100        14.712190000000003        114.71219        2.429058951988388e-7        0.027031378040498644        0.12000063681503427        0.9
         100        15.265645000000001        115.265645        3.104629435331532e-7        0.015445962132953496        0.12000022515684171        0.95
         100        15.487027000000001        115.487027        3.6413219226276114e-7        0.010932714664969014        0.12000004200972568        0.97
         100        15.708409000000001        115.708409        4.682151056644126e-7        0.006441258643336193        0.12000006663823853        0.99
         100        15.819100000000002        115.8191        5.765404446649665e-7        0.004193571218793408        0.12000002031034963        1.0
         125        4.75        129.75        2.386140493249183e-7        1.8295272634224946        0.11997634265193985        0.0
         125        5.0       130.0       1.7998585637928774e-7        1.234459648122009        0.11999664397780022        0.018620725612435662
         125        5.152777        130.15277700000001        1.6873101073661512e-7        1.1027980894441043        0.11994636036666037        0.03
         125        5.555554        130.555554        1.5388729771889401e-7        0.8810881679844007        0.11999686703243236        0.06
         125        6.09259        131.09259        1.4512987373825813e-7        0.6948202604621743        0.11999257959128787        0.1
         125        7.1666620000000005        132.166662        1.3850151716505911e-7        0.47125614578812325        0.11999330873480905        0.18
         125        9.180547        134.180547        1.3740855328358658e-7        0.26343743064467906        0.11999626563123254        0.33
         125        11.462950000000001        136.46295        1.4421662579196627e-7        0.14904170212197398        0.11999621659613592        0.5
         125        13.476835000000001        138.476835        1.6007602246911828e-7        0.08754142781389924        0.11990610709968758        0.65
         125        15.490720000000003        140.49072        1.9560977594597004e-7        0.0448491085564215        0.12000042515619742        0.8
         125        16.833310000000004        141.83331        2.5324226266853887e-7        0.022894573637148436        0.12000057418116655        0.9
         125        17.504605        142.504605        3.2518909637836847e-7        0.012914343426248958        0.12000024160631678        0.95
         125        17.773123000000002        142.773123        3.8447580583849664e-7        0.00898309563078732        0.12000009084625865        0.97
         125        18.041641000000002        143.041641        5.060874733307889e-7        0.005043728299627512        0.12000005551253383        0.99
         125        18.175900000000002        143.1759        6.451419989248297e-7        0.003061903218686639        0.12000002529363064        1.0
         150        4.75        154.75        2.5133566632446955e-7        1.948894311281507        0.11995183873117846        0.0
         150        5.0       155.0       1.930470706970145e-7        1.267643966506467        0.11999652049222115        0.01610305958132045
         150        5.21575        155.21575        1.7810120597409733e-7        1.0792872293286042        0.11994181292239083        0.03
         150        5.6815        155.6815        1.632964104191685e-7        0.8389735779987504        0.11999634518829344        0.06
         150        6.3025        156.3025        1.5480200938671897e-7        0.644008558677552        0.11999273182427274        0.1
         150        7.5445        157.5445        1.4873123215531133e-7        0.4203848652293657        0.11999311366075306        0.18
         150        9.87325        159.87325        1.4829859356759326e-7        0.22553736989705692        0.1199950954433536        0.33
         150        12.512500000000001        162.5125        1.5490118352728354e-7        0.12592756906737035        0.11997306737704545        0.5
         150        14.841250000000002        164.84125        1.6991679628273113e-7        0.07466416186770596        0.11990893050261324        0.65
         150        17.17        167.17000000000002        2.0511246724056418e-7        0.03877466674179392        0.1199884255675876        0.8
         150        18.722500000000004        168.7225        2.6408696746268543e-7        0.01989393539915406        0.12000040210781893        0.9
