"# mY[GeV]","log10(tau/ns)"
191.2723082379102,-1.84769539078156275
190.87458749819615,-1.83567134268537102
190.47686675848206,-1.82364729458917818
190.079146018768,-1.81162324649298601
189.750295332963,-1.79959919839679383
189.70323337957421,-1.78757515030060121
189.68925513466655,-1.77555110220440904
189.67527688975883,-1.76352705410821642
189.66129864485117,-1.75150300601202424
189.6473203999435,-1.73947895791583162
189.63334215503585,-1.72745490981963945
189.6193639101282,-1.71543086172344683
189.60538566522052,-1.70340681362725466
189.59140742031286,-1.69138276553106204
189.5774291754052,-1.67935871743486986
189.56345093049748,-1.66733466933867724
189.54947268558982,-1.65531062124248507
189.53549444068216,-1.64328657314629245
189.52361135509094,-1.63126252505010028
189.52973460970867,-1.61923847695390766
189.53611058140584,-1.60721442885771548
189.54248655310295,-1.59519038076152286
189.54886252480011,-1.58316633266533069
189.55523849649728,-1.57114228456913851
189.53677413129142,-1.5591182364729459
189.51404611365484,-1.54709418837675372
189.4913180960183,-1.5350701402805611
189.46859007838174,-1.52304609218436893
189.44586206074516,-1.51102204408817631
189.4231340431086,-1.49899799599198413
189.40040602547202,-1.48697394789579152
189.37767800783547,-1.47494989979959934
190.47621768369228,-1.46292585170340672
190.92017770236575,-1.46155602513186911
193.25227293394525,-1.45436040867721705
194.37320488501607,-1.45090180360721455
195.5843681655248,-1.44716479222256544
197.91646339710428,-1.43996917576791361
198.27019208633996,-1.43887775551102193
200.2485586286838,-1.432773559313262
202.1671792876637,-1.42685370741482975
202.58065386026325,-1.42557794285860995
204.9127490918428,-1.41838232640395856
206.0641664889876,-1.41482965931863713
207.24484432342237,-1.41118670994930673
209.57693955500184,-1.40399109349465512
209.96115369031136,-1.40280561122244496
211.9090347865814,-1.39679547704000306
213.85814089163532,-1.39078156312625256
214.24113001816087,-1.38959986058535145
216.5732252497404,-1.38240424413069984
217.75512809295904,-1.37875751503006017
218.9053204813199,-1.37520862767604801
221.2374157128994,-1.3680130112213964
221.77757844653107,-1.36673346693386755
223.55962491690966,-1.36247382510330994
225.87373081963366,-1.35829236876929382
227.85661068817902,-1.35470941883767537
228.18783672235762,-1.35411091243527726
230.50194262508157,-1.34992945610126114
232.8160485278055,-1.3457479997672448
234.51097186078738,-1.3426853707414832
235.13015443052944,-1.34156654343322868
237.44426033325342,-1.33738508709921256
239.7583662359774,-1.33320363076519621
241.16533303339597,-1.33066132264529058
242.07247213870136,-1.32902217443117987
244.38657804142534,-1.32484071809716353
246.7006839441493,-1.32065926176314718
247.81969420600433,-1.3186372745490984
249.00708354928815,-1.31459738528908887
250.46103315897238,-1.30661322645290578
251.20050190595558,-1.2993957237899425
251.6929561930965,-1.29458917835671361
252.92487922722066,-1.28256513026052099
253.34764883455696,-1.27843873441320754
254.15680226134478,-1.27054108216432882
255.38872529546893,-1.2585170340681362
255.4947957631583,-1.25748174503647259
256.620648329593,-1.24649298597194402
257.64194269175965,-1.23652475565973785
257.8525713637172,-1.2344689378757514
259.0844943978413,-1.22244488977955923
259.789089620361,-1.21556776628300289
260.3164174319655,-1.21042084168336661
261.54834046608954,-1.19839679358717444
261.9362365489623,-1.19461077690626816
262.7802635002137,-1.18637274549098182
264.01218653433784,-1.17434869739478964
264.08338347756364,-1.17365378752953342
265.244109568462,-1.16232464929859702
266.23053040616503,-1.15269679815279891
266.47603260258614,-1.15030060120240485
267.7079556367102,-1.13827655310621267
268.3776773347664,-1.13173980877606373
268.9398786708344,-1.12625250501002006
270.17180170495845,-1.11422845691382788
270.5248242633677,-1.11078281939932899
271.5138136677426,-1.10220440881763526
272.68745485833676,-1.0920065717008256
275.04943765779046,-1.10130737310955595
275.2772441467013,-1.10220440881763526
277.4114204572442,-1.11060817451828586
278.33080840798664,-1.11422845691382788
279.77340325669786,-1.11990897592701577
281.384372669272,-1.12625250501002006
282.1353860561517,-1.12920977733574612
284.4379369305574,-1.13827655310621267
284.4973688556053,-1.13851057874447648
286.8593516550591,-1.14781138015320638
287.49150119184253,-1.15030060120240485
289.2213344545127,-1.15711218156193629
290.5450654531279,-1.16232464929859702
291.5833172539664,-1.16641298297066642
293.5986297144132,-1.17434869739478964
293.9453000534201,-1.17571378437939655
296.30728285287375,-1.18501458578812668
296.65219397569854,-1.18637274549098182
298.6692656523275,-1.19431538719685682
299.70575823698397,-1.19839679358717444
301.03124845178115,-1.20361618860558694
302.75932249826917,-1.21042084168336661
303.3932312512349,-1.21291699001431685
