"# mY[GeV]","log10(tau/ns)"
114.92434415806069,-1.42685370741482975
114.53290727217004,-1.41482965931863713
114.41522086642956,-1.40280561122244496
114.35120289641627,-1.39078156312625234
114.3068254760762,-1.37875751503006017
114.27180841091685,-1.36673346693386755
114.24198015288862,-1.35470941883767537
114.21532734345807,-1.3426853707414832
114.19075895932025,-1.33066132264529058
114.16763242417855,-1.3186372745490984
114.145544670523,-1.30661322645290578
114.12423006088177,-1.29458917835671361
114.1080210392207,-1.28256513026052099
114.0764717628118,-1.27054108216432882
114.04502756730584,-1.2585170340681362
114.01429092536279,-1.24649298597194402
113.98407772788937,-1.2344689378757514
113.95426264262994,-1.22244488977955923
113.9247573922145,-1.21042084168336661
113.89549800243506,-1.19839679358717444
113.86643697733983,-1.18637274549098182
113.8375383146927,-1.17434869739478964
113.80877422755553,-1.16232464929859702
113.7801229274558,-1.15030060120240485
113.7515670886313,-1.13827655310621267
113.72309276112078,-1.12625250501002006
113.69468858676501,-1.11422845691382788
113.66634522400123,-1.10220440881763526
113.63805491933557,-1.09018036072144309
113.60981118363546,-1.07815631262525047
113.58160854450055,-1.06613226452905829
113.55344235463906,-1.05410821643286568
113.53605730290941,-1.0420841683366735
113.49036538911672,-1.03006012024048088
113.44469289584397,-1.01803607214428871
113.39908080700788,-1.00601202404809609
113.35351999272166,-0.993987975951903913
113.30800307477318,-0.981963927855711294
113.26252402575388,-0.969939879759519119
113.21707787345696,-0.9579158316633265
113.17166047964601,-0.945891783567134326
113.12626837224292,-0.933867735470941707
113.08089861646913,-0.921843687374749532
113.03554871478366,-0.909819639278557357
112.99021652837988,-0.897795591182364738
112.9449002150096,-0.885771543086172564
112.89959817930557,-0.873747494989979945
112.85430903276638,-0.86172344689378777
112.80903156127951,-0.849699398797595151
112.76376469857706,-0.837675350701402976
112.71850750439631,-0.825651302605210358
112.6732591464008,-0.813627254509018183
112.62801888512699,-0.801603206412825564
112.58278606138241,-0.789579158316633389
112.53756008564122,-0.77755511022044077
112.49234042907783,-0.765531062124248596
112.44709204518794,-0.753507014028055977
112.40335954450643,-0.741482965931863802
112.33449791163346,-0.729458917835671183
112.26588689974803,-0.717434869739479009
112.19741998543134,-0.70541082164328639
112.12904352233258,-0.693386773547094215
112.06072755374608,-0.68136272545090204
111.99245403631974,-0.669338677354709422
111.92421145339188,-0.657314629258517247
111.85599210866108,-0.645290581162324628
111.78779066336531,-0.633266533066132453
111.71960329778884,-0.621242484969939834
111.65142720687031,-0.60921843687374766
111.58326028427241,-0.597194388777555041
111.51510091757578,-0.585170340681362866
111.4469478515218,-0.573146292585170247
111.37880009430991,-0.561122244488978072
111.31065685192414,-0.549098196392785454
111.24251748117169,-0.537074148296593279
111.17438145549544,-0.52505010020040066
111.10624833968224,-0.513026052104208485
111.03811777087905,-0.501002004008015866
110.96998944415446,-0.488977955911823692
110.90186310138486,-0.476953907815631517
110.83373852260489,-0.464929859719438898
110.78164451929867,-0.452905811623246724
110.69680076865626,-0.440881763527054105
110.61195683802552,-0.42885771543086193
110.52711532340923,-0.416833667334669311
110.44227589953533,-0.404809619238477136
110.35743829701322,-0.392785571142284518
110.27260229082745,-0.380761523046092343
110.18776769156202,-0.368737474949899724
110.10293433862802,-0.356713426853707549
