"# mY[GeV]","log10(tau/ns)"
254.68,-1.7166093862072624
258.59000000000003,-1.6585750091050722
261.84000000000003,-1.5981897730560457
265.75,-1.540296907452381
269.98,-1.4817385988032628
275.18,-1.4253208837951827
282.99,-1.3734617630613648
292.1,-1.3276631966960717
301.87,-1.2819457549975495
312.28,-1.2401826887460772
324.32,-1.2047469154279176
337.33,-1.179082071195125
351.,-1.159216960994823
364.67,-1.1417240286663857
378.33,-1.1293735902799564
392.98,-1.1273683269780146
407.29,-1.12058444563816
421.29,-1.112363517809098
435.6,-1.112889229926091
450.25,-1.114489051057902
464.24,-1.1122884679999678
479.21,-1.11114556247201
493.52,-1.1158299043490063
507.84,-1.1199920477314658
522.1600000000001,-1.1205270814797623
536.48,-1.124676790486345
550.79,-1.1311137816494996
565.11,-1.1371705453142436
579.43,-1.1401208726122658
593.75,-1.1425680605936968
608.06,-1.1491553158778856
622.38,-1.1536717728438863
636.7,-1.158173133924273
651.02,-1.1625109806830807
665.33,-1.1666799011317337
679.65,-1.1710180737430231
693.97,-1.1746630069869115
708.29,-1.179344709603716
722.6,-1.1831709237120926
736.6,-1.189466930213181
1114.4,-1.3818607004912618
1128.4,-1.3911377597333126
1142.7,-1.401784977005737
1156.7,-1.4139755896508772
1170.7,-1.4269052672544296
1184.7,-1.4399922695508145
1199.,-1.4490227595776282
1213.3,-1.4566666712895946
1227.3,-1.4667328559294033
1241.6,-1.4778250836880418
1255.9,-1.4901653930958554
1269.6,-1.50451138748439
1283.3,-1.519937044488563
1297.6,-1.532737963195748
1311.9,-1.5450781423028654
1325.6,-1.5603509621385176
1339.2,-1.5783972194970786
1352.9,-1.5984482936524056
1366.2,-1.6199831015253523
1379.9,-1.6417773000625295
1392.9,-1.6675977812385059
1405.9,-1.6948069819684168
1418.3,-1.72410403281274
