"# mY[GeV]","log10(tau/ns)"
213.33,-0.09234184007709229
224.39,-0.10961392149193998
238.71,-0.11223218915296537
253.02,-0.1057528406561914
267.34,-0.10684456805550058
281.66,-0.11471538363415466
295.98,-0.12071832481452882
310.29,-0.12025948221304818
324.61,-0.12535294581816678
338.6,-0.13356970487356457
353.25,-0.13938140965869636
367.24,-0.14258817659832781
381.56,-0.14884907930491703
395.87,-0.15578181020187282
410.19,-0.16202685253001334
424.51,-0.1668925924930068
438.5,-0.17347342500334556
453.47,-0.17347342500334556
467.79,-0.17548680747913392
482.1,-0.1742516919918736
496.42,-0.17410025303179363
510.74,-0.17377591868456213
525.06,-0.17840432286663313
539.37,-0.1794979887226249
553.69,-0.18072617310780492
568.33,-0.1817156301181195
582.65,-0.18257498678980943
596.97,-0.18257498678980943
611.29,-0.18536304877868284
625.6,-0.1881244423376719
639.92,-0.19108341278127328
654.24,-0.19367783962468585
668.56,-0.196470009881922
682.87,-0.19854737712975967
697.52,-0.19877626639504692
711.83,-0.2016937034698153
726.15,-0.20679438061563418
740.47,-0.2100247430812603
754.79,-0.21311363832049618
769.1,-0.21651075713300758
783.42,-0.21945416434291254
797.74,-0.22253855247709617
812.06,-0.22576680074061994
826.37,-0.22808747312312283
841.02,-0.23202422418030513
855.33,-0.23567284051622786
869.65,-0.24053542547989912
883.97,-0.24418030090098441
898.29,-0.24903680207420942
912.6,-0.25423427953753813
1285.8,-0.3436012461954333
1300.2,-0.3436012461954333
1314.5,-0.3471630296152398
1328.8,-0.3534918360015799
1342.8,-0.3587213908499331
1357.7,-0.3587213908499331
1372.1,-0.3601133615348387
1386.4,-0.3602793699011822
1400.7,-0.3602793699011822
1415.,-0.3635794704953287
1429.3,-0.3713786481262325
1443.3,-0.38032781287356654
1457.6,-0.3878699687098914
1472.3,-0.38942975793073986
1486.6,-0.38942975793073986
1500.9,-0.38942975793073986
