"# mY[GeV]","log10(tau/ns)"
228.2728995921664,-2.265486539195378
247.83971333212548,-2.3133909596264557
264.8728656200528,-2.3542116793519376
280.45763176604754,-2.395149415637004
295.4115874774072,-2.4190785470991747
310.5494433568225,-2.4453718410685443
324.84609333048263,-2.4703546606786957
341.30315969129714,-2.49565470686427
354.13559539783614,-2.512853530115166
367.9351604896061,-2.5301277757662666
383.1069775332553,-2.5514054658436813
400.56284006065033,-2.5706203887435555
414.92297294577224,-2.584325397934468
430.0151316661165,-2.6014815799733886
444.57325273804616,-2.6178205849173497
459.2545770771656,-2.6278130504672657
473.9272975614343,-2.642450871271978
489.6513836462044,-2.654855428871145
503.40864495878316,-2.6641813723140317
518.1266428587835,-2.675430714911929
533.6103045227777,-2.686535538894686
551.0558409090086,-2.698799760436016
566.2169560066845,-2.7037879811724914
578.8551128964646,-2.709375403658158
593.8681753610913,-2.7195689567558294
611.1816393023622,-2.729346746432082
626.3427442494233,-2.7343312383461527
640.5344197584194,-2.7444752007284214
657.0128419257127,-2.746951566423197
670.416613700806,-2.753438924708786
684.5210133750712,-2.755282122002613
697.9247881208623,-2.7617705116102838
712.0392262009068,-2.7636074575864535
725.4430213214443,-2.7701029205911687
738.1347793558738,-2.770299208028484
732.4,-2.773254215460038
748.09,-2.777981006483641
770.39,-2.782575371712846
795.02,-2.7837359998530697
813.39,-2.7855711863848556
833.24,-2.7841764429579405
1087.5,-2.7703589652965728
1109.9,-2.7482964836236046
1126.2,-2.7310824789310706
1139.8,-2.718597872524112
1152.9,-2.7131232308953748
1169.2,-2.707214472409071
1182.1,-2.7029246014679535
1197.1,-2.6968636516810216
1212.1,-2.6883907022074576
1225.3,-2.6834564430333754
1238.4,-2.678543061848037
1254.1,-2.668954330424388
1269.,-2.661475437412204
1284.6,-2.6530531306313754
1299.3,-2.644976513759331
1314.4,-2.635636487505187
1329.2,-2.628693192360053
1344.2,-2.6157704387624023
1359.5,-2.607870779128912
1372.3,-2.596149994175947
1385.1,-2.5894453697618687
1401.,-2.57755846895102
1416.2,-2.569274989644334
1429.3,-2.556379080284521
1443.1,-2.5442251905094073
1457.3,-2.53803087855673
1470.9,-2.5236507766076555
1485.8,-2.506906476680506
1499.1,-2.499586526048571
1512.3,-2.4904969258771623
1526.1,-2.4737049858281215
